db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
LMDB,put,5000,7221,1.4442,692424.8719013988
LMDB,get,500,102,0.204,4901960.784313726
LMDB,delete,50,80,1.6,625000
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7009,1.4018,713368.526180625
LMDB,get,500,100,0.2,5000000
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7212,1.4424,693288.9628397117
LMDB,get,500,103,0.206,4854368.932038835
LMDB,delete,50,81,1.62,617283.9506172839
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6993,1.3986,715000.715000715
LMDB,get,500,97,0.194,5154639.175257732
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7155,1.431,698812.0195667365
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7001,1.4002,714183.6880445651
LMDB,get,500,97,0.194,5154639.175257732
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6978,1.3956,716537.6898824879
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,83,1.66,602409.638554217
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7032,1.4064,711035.2673492605
LMDB,get,500,108,0.216,4629629.62962963
LMDB,delete,50,78,1.56,641025.641025641
LMDB,range,50,14,0.28,3571428.571428571
LMDB,put,5000,6965,1.393,717875.0897343862
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6963,1.3926,718081.2868016659
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,75,1.5,666666.6666666666
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7022,1.4044,712047.8496154941
LMDB,get,500,106,0.212,4716981.132075472
LMDB,delete,50,80,1.6,625000
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7182,1.4364,696184.9067112226
LMDB,get,500,112,0.224,4464285.714285715
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7070,1.414,707213.5785007073
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,11,0.22,4545454.545454546
LMDB,put,5000,6988,1.3976,715512.3068116772
LMDB,get,500,101,0.202,4950495.049504951
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7453,1.4906,670870.790285791
LMDB,get,500,110,0.22,4545454.545454546
LMDB,delete,50,80,1.6,625000
LMDB,range,50,16,0.32,3125000
LMDB,put,5000,6978,1.3956,716537.6898824879
LMDB,get,500,90,0.18,5555555.555555556
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,11,0.22,4545454.545454546
LMDB,put,5000,6976,1.3952,716743.1192660551
LMDB,get,500,102,0.204,4901960.784313726
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,6985,1.397,715819.6134574087
LMDB,get,500,102,0.204,4901960.784313726
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7036,1.4072,710631.0403638431
LMDB,get,500,105,0.21,4761904.761904762
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,12,0.24,4166666.666666667
